"Term","GDM","No GDM","Prior Mean","Prior SD"
"P1","0.77","0.49","0.77","0.20"
"P2","-0.65","-0.85","-0.65","0.16"
"P3","0.44","0.43","0.44","0.07"
"P4","-0.29","0.06","-0.29","0.25"
